LA1,LA2,LB1,LB2,RA1,RA2,RB,IPMR CODE,"U:Used 
W,,Y,W,N,R,M,"LAW;LBY,W;RAN,R;RBM",U,,FP01486,27/09/2011,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
W,,Y,W,N,W,M,"LAW;LBY,W;RAN,W;RBM",U,,FP01491,27/09/2011,Turnover,ST5796,Wibdon Wharf,,,"Reringed and colour ringed on Nunnery reserve. Now B/OW, BB/m FJ42303",,,,,,,,,,,
W,,Y,W,N,Y,M,"LAW;LBY,W;RAN,Y;RBM",U,,FP01492,27/09/2011,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
W,,Y,W,O,B,M,"LAW;LBY,W;RAO,B;RBM",U,,FP01493,27/09/2011,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
W,,Y,W,O,G,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,O,L,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,O,N,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,O,O,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,O,R,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,O,W,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,O,Y,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,R,B,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,R,G,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,R,L,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,R,N,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,R,O,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,R,R,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,R,W,M,"LAW;LBY,W;RAR,W;RBM",U,,FH73032,07/10/2013,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
W,,Y,W,R,Y,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,W,B,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,W,G,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,W,L,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,W,N,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,W,O,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,W,R,M,"LAW;LBY,W;RAW,R;RBM",U,,FH73026,07/10/2013,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
W,,Y,W,W,W,M,"LAW;LBY,W;RAW,W;RBM",U,,FH73031,07/10/2013,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
W,,Y,W,W,Y,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,Y,B,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,Y,G,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,Y,L,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,Y,N,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,Y,O,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,Y,R,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,Y,W,M,,N,,,,,,,,,,,,,,,,,,,,
W,,Y,W,Y,Y,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,B,B,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,B,G,M,,D,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,B,L,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,B,N,M,,D,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,B,O,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,B,R,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,B,W,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,B,Y,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,G,B,M,,D,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,G,G,M,"LAY;LBY,W;RAG,G;RBM",U,,FH73030,07/10/2013,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
Y,,Y,W,G,L,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,G,N,M,,D,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,G,O,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,G,R,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,G,W,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,G,Y,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,L,B,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,L,G,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,L,L,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,L,N,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,L,O,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,L,R,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,L,W,M,,D,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,L,Y,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,N,B,M,,D,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,N,G,M,,D,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,N,L,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,N,N,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,N,O,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,N,R,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,N,W,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,N,Y,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,O,B,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,O,G,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,O,L,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,O,N,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,O,O,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,O,R,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,O,W,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,O,Y,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,R,B,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,R,G,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,R,L,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,R,N,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,R,O,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,R,R,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,R,W,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,R,Y,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,W,B,M,"LAY;LBY,W;RAW,B;RBM",U,,FH73023,07/10/2013,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
Y,,Y,W,W,G,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,W,L,M,"LAY;LBY,W;RAW,L;RBM",U,,FH73025,07/10/2013,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
Y,,Y,W,W,N,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,W,O,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,W,R,M,"LAY;LBY,W;RAW,R;RBM",U,,FH73028,07/10/2013,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
Y,,Y,W,W,W,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,W,Y,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,Y,B,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,Y,G,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,Y,L,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,Y,N,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,Y,O,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,Y,R,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,Y,W,M,,N,,,,,,,,,,,,,,,,,,,,
Y,,Y,W,Y,Y,M,,N,,,,,,,,,,,,,,,,,,,,
B,,O,W,B,B,M,"LAB;LBO,W;RAB,B;RBM",U,,FJ42303,08/03/2019,BTO132 - Brecks PhD,,Nunnery Reserve,6,Pathtrack GPS - added 7/6/19 Euston estate,FP01491 - CR replaced from BTO turnover project. Previous WYWNW (line ,,,,,,,,,,,
B,,O,W,B,G,M,"LAB;LBO,W;RAB,B;RBM",D,,,,,,,,,,,,,,,,,,,,
B,,O,W,B,L,M,,A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,B,N,M,"LAB;LBO,W;RAB,B;RBM",D,,,,,,,,,,,,,,,,,,,,
B,,O,W,B,O,M,"LAB;LBO,W;RAB,O;RBM",U,,FJ42301,08/03/2019,BTO132 - Brecks PhD,,Nunnery Reserve,6,,,,,,,,,,,,,
B,,O,W,B,R,M,"LAB;LBO,W;RAB,R;RBM",U,,FJ42302,08/03/2019,BTO132 - Brecks PhD,,Nunnery Reserve,6,,,,,,,,,,,,,
B,,O,W,B,W,M,"LAB;LBO,W;RAB,W;RBM",U,,FJ42304,08/03/2019,BTO132 - Brecks PhD,,Nunnery Reserve,6,,,,,,,,,,,,,
B,,O,W,B,Y,M,"LAB;LBO,W;RAB,Y;RBM",U,,FJ42305,08/03/2019,BTO132 - Brecks PhD,,Nunnery Reserve,6,,,,,,,,,,,,,
B,,O,W,G,B,M,"LAB;LBO,W;RAG,B;RBM",D,,,,,,,,,,,,,,,,,,,,
B,,O,W,G,G,M,"LAB;LBO,W;RAG,G;RBM",U,,FJ42306,08/03/2019,BTO132 - Brecks PhD,,Nunnery Reserve,6,,,,,,,,,,,,,
B,,O,W,G,L,M,,A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,G,N,M,"LAB;LBO,W;RAG,N;RBM",D,,,,,,,,,,,,,,,,,,,,
B,,O,W,G,O,M,"LAB;LBO,W;RAG,O;RBM",U,,FJ42310,14/05/2019,BTO132 - Brecks PhD,,RAF Honington,4,Pathtrack GPS,,,,,,,,,,,,
B,,O,W,G,R,M,"LAB;LBO,W;RAG,R;RBM",U,,FJ42311,14/05/2019,BTO132 - Brecks PhD,,RAF Honington,4,Pathtrack GPS,,,,,,,,,,,,
B,,O,W,G,W,M,"LAB;LBO,W;RAG,W;RBM",U,,FJ42318,28/05/2019,BTO132 - Brecks PhD,,RAF Honington,P,,,,,,,,,,,,,
B,,O,W,G,Y,M,"LAB;LBO,W;RAG,Y;RBM",U,,FJ42319,28/05/2019,BTO132 - Brecks PhD,,RAF Honington,P,,,,,,,,,,,,,
B,,O,W,L,B,M,,A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,L,G,M,,A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,L,L,M,,A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,L,N,M,,A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,L,O,M,,A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,L,R,M,,A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,L,W,M,,D,,,,,,,,,,,,,,,,,,,,
B,,O,W,L,Y,M,,A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,N,B,M,"LAB;LBO,W;RAN,B;RBM",D,,,,,,,,,,,,,,,,,,,,
B,,O,W,N,G,M,"LAB;LBO,W;RAN,G;RBM",D,,,,,,,,,,,,,,,,,,,,
B,,O,W,N,L,M,,A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,N,N,M,"LAB;LBO,W;RAN,N;RBM",U,,FJ60104,20/06/2020,BTO132 - Brecks PhD,,RAF Honington,P,,,,,,,,,,,,,
B,,O,W,N,O,M,"LAB;LBO,W;RAN,O;RBM",U,,FJ42343,17/06/2019,BTO132 - Brecks PhD,,King's Forest,P,,,,,,,,,,,,,
B,,O,W,N,R,M,"LAB;LBO,W;RAN,R;RBM",U,,FJ60107,21/06/2020,BTO132 - Brecks PhD,,Euston Estate,,,,,,,,,,,,,,
B,,O,W,N,W,M,"LAB;LBO,W;RAN,W;RBM",U,,FJ42344,23/06/2019,BTO132 - Brecks PhD,,RAF Honington,4,Pathtrack GPS,,,,,,,,,,,,
B,,O,W,N,Y,M,"LAB;LBO,W;RAN,Y;RBM",U,,FJ42324,28/06/2019,BTO132 - Brecks PhD,,RAF Honington,P,,,,,,,,,,,,,
B,,O,W,O,B,M,"LAB;LBO,W;RAO,B;RBM",U,,FJ42327,28/06/2019,BTO132 - Brecks PhD,,RAF Honington,P,,,,,,,,,,,,,
B,,O,W,O,G,M,"LAB;LBO,W;RAO,G;RBM",U,,FJ42334,07/06/2019,BTO132 - Brecks PhD,,Cockley Cley Estate,4,Pathtrack GPS,,,,,,,,,,,,
B,,O,W,O,L,M,,A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,O,N,M,"LAB;LBO,W;RAO,N;RBM",U,,FJ42321,30/06/2019,BTO132 - Brecks PhD,,RAF Honington,P,,,,,,,,,,,,,
B,,O,W,O,O,M,"LAB;LBO,W;RAO,O;RBM",U,,FJ42322,30/06/2019,BTO132 - Brecks PhD,,RAF Honington,P,,,,,,,,,,,,,
B,,O,W,O,R,M,"LAB;LBO,W;RAO,R;RBM",U,,FJ42347,30/06/2019,BTO132 - Brecks PhD,,RAF Honington,P,,,,,,,,,,,,,
B,,O,W,O,W,M,"LAB;LBO,W;RAO,W;RBM",U,,FJ60106,21/06/2020,BTO132 - Brecks PhD,,Euston Estate,P,,,,,,,,,,,,,
B,,O,W,O,Y,M,"LAB;LBO,W;RAO,Y;RBM",A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,R,B,M,"LAB;LBO,W;RAR,B;RBM",U,,FJ60108,21/03/2021,BTO132 - Brecks PhD,,RAF Honington,6,,,,,,,,,,,,,
B,,O,W,R,G,M,"LAB;LBO,W;RAR,G;RBM",U,,FJ60123,25/06/2021,BTO132 - Brecks PhD,,Stanta,P,,,,,,,,,,,,,
B,,O,W,R,L,M,,A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,R,N,M,"LAB;LBO,W;RAR,N;RBM",U,,FJ60124,25/06/2021,BTO132 - Brecks PhD,,Stanta,P,,,,,,,,,,,,,
B,,O,W,R,O,M,"LAB;LBO,W;RAR,O;RBM",A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,R,R,M,"LAB;LBO,W;RAR,R;RBM",A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,R,W,M,"LAB;LBO,W;RAR,W;RBM",A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,R,Y,M,"LAB;LBO,W;RAR,Y;RBM",A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,W,B,M,"LAB;LBO,W;RAW,B;RBM",U,,FJ60117,30/06/2021,BTO132 - Brecks PhD,,Cockley Cley,P,,,,,,,,,,,,,
B,,O,W,W,G,M,"LAB;LBO,W;RAW,G;RBM",U,,FJ60109,21/03/2021,BTO132 - Brecks PhD,,RAF Honington,6,,,,,,,,,,,,,
B,,O,W,W,L,M,,A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,W,N,M,"LAB;LBO,W;RAW,N;RBM",U,,FJ60127,06/07/2021,BTO132 - Brecks PhD,,Stanta,P,,,,,,,,,,,,,
B,,O,W,W,O,M,"LAB;LBO,W;RAW,O;RBM",U,,FJ60110,29/03/2021,BTO132 - Brecks PhD,,RAF Honington,6,,,,,,,,,,,,,
B,,O,W,W,R,M,"LAB;LBO,W;RAW,R;RBM",A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,W,W,M,"LAB;LBO,W;RAW,W;RBM",U,,FJ60125,27/06/2021,BTO132 - Brecks PhD,,RAF Honington,P,,,,,,,,,,,,,
B,,O,W,W,Y,M,"LAB;LBO,W;RAW,Y;RBM",U,,FJ60126,04/07/2021,BTO132 - Brecks PhD,,Stanta,P,,,,,,,,,,,,,
B,,O,W,Y,B,M,"LAB;LBO,W;RAY,B;RBM",U,,FJ60111,03/04/2021,BTO132 - Brecks PhD,,RAF Honington,6,,,,,,,,,,,,,
B,,O,W,Y,G,M,"LAB;LBO,W;RAY,G;RBM",U,,FJ60113,30/05/2021,BTO132 - Brecks PhD,,Euston Estate,P,,,,,,,,,,,,,
B,,O,W,Y,L,M,,A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,Y,N,M,"LAB;LBO,W;RAY,N;RBM",A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,Y,O,M,"LAB;LBO,W;RAY,O;RBM",A - BRECKS,1,,,,,,,,,,,,,,,,,,,
B,,O,W,Y,R,M,"LAB;LBO,W;RAY,R;RBM",U,,FJ60112,28/05/2021,BTO132 - Brecks PhD,,Stanta,6,Ornitela 210996,,,,,,,,,,,,
B,,O,W,Y,W,M,"LAB;LBO,W;RAY,W;RBM",U,,FJ60128,06/07/2021,BTO132 - Brecks PhD,,RAF Honington,P,,,,,,,,,,,,,
B,,O,W,Y,Y,M,"LAB;LBO,W;RAY,Y;RBM",A - BRECKS,1,,,,,,,,,,,,,,,,,,,
G,,O,W,B,B,M,"LAG;LBO,W;RAB,B;RBM",A - BRECKS,2,,,,,,,,,,,,,,,,,,,
G,,O,W,B,G,M,"LAG;LBO,W;RAB,B;RBM",D,,,,,,,,,,,,,,,,,,,,
G,,O,W,B,L,M,,A - BRECKS,2,,,,,,,,,,,,,,,,,,,
G,,O,W,B,N,M,"LAG;LBO,W;RAB,B;RBM",D,,,,,,,,,,,,,,,,,,,,
G,,O,W,B,O,M,"LAG;LBO,W;RAB,O;RBM",A - BRECKS,2,,,,,,,,,,,,,,,,,,,
G,,O,W,B,R,M,"LAG;LBO,W;RAB,R;RBM",A - BRECKS,2,,,,,,,,,,,,,,,,,,,
G,,O,W,B,W,M,"LAG;LBO,W;RAB,W;RBM",A - BRECKS,2,,,,,,,,,,,,,,,,,,,
G,,O,W,B,Y,M,"LAG;LBO,W;RAB,Y;RBM",A - BRECKS,2,,,,,,,,,,,,,,,,,,,
G,,O,W,G,B,M,"LAG;LBO,W;RAG,B;RBM",D,,,,,,,,,,,,,,,,,,,,
G,,O,W,G,G,M,"LAG;LBO,W;RAG,G;RBM",A - BRECKS,2,,,,,,,,,,,,,,,,,,,
G,,O,W,G,L,M,,A - BRECKS,2,,,,,,,,,,,,,,,,,,,
G,,O,W,G,N,M,"LAG;LBO,W;RAG,N;RBM",D,,,,,,,,,,,,,,,,,,,,
G,,O,W,G,O,M,"LAG;LBO,W;RAG,O;RBM",A - BRECKS,2,,,,,,,,,,,,,,,,,,,
G,,O,W,G,R,M,"LAG;LBO,W;RAG,R;RBM",A - BRECKS,2,,,,,,,,,,,,,,,,,,,
G,,O,W,G,W,M,"LAG;LBO,W;RAG,W;RBM",A - BRECKS,2,,,,,,,,,,,,,,,,,,,
G,,O,W,G,Y,M,"LAG;LBO,W;RAG,Y;RBM",A - BRECKS,2,,,,,,,,,,,,,,,,,,,
G,,O,W,L,B,M,,A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,L,G,M,,A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,L,L,M,,A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,L,N,M,,A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,L,O,M,,A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,L,R,M,,A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,L,W,M,,D,,,,,,,,,,,,,,,,,,,,
G,,O,W,L,Y,M,,A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,N,B,M,"LAG;LBO,W;RAN,B;RBM",D,,,,,,,,,,,,,,,,,,,,
G,,O,W,N,G,M,"LAG;LBO,W;RAN,G;RBM",D,,,,,,,,,,,,,,,,,,,,
G,,O,W,N,L,M,,A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,N,N,M,"LAG;LBO,W;RAN,N;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,N,O,M,"LAG;LBO,W;RAN,O;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,N,R,M,"LAG;LBO,W;RAN,R;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,N,W,M,"LAG;LBO,W;RAN,W;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,N,Y,M,"LAG;LBO,W;RAN,Y;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,O,B,M,"LAG;LBO,W;RAO,B;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,O,G,M,"LAG;LBO,W;RAO,G;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,O,L,M,,A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,O,N,M,"LAG;LBO,W;RAO,N;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,O,O,M,"LAG;LBO,W;RAO,O;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,O,R,M,"LAG;LBO,W;RAO,R;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,O,W,M,"LAG;LBO,W;RAO,W;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,O,Y,M,"LAG;LBO,W;RAO,Y;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,R,B,M,"LAG;LBO,W;RAR,B;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,R,G,M,"LAG;LBO,W;RAR,G;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,R,L,M,,A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,R,N,M,"LAG;LBO,W;RAR,N;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,R,O,M,"LAG;LBO,W;RAR,O;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
G,,O,W,R,R,M,"LAG;LBO,W;RAR,R;RBM",A - BRECKS,,,,,,,,,,,,,,,,,,,,
